| Table Name   | Column Name   | Core Feature                                                     |  Use case (if have)   | Category    | Data Type    | Key/Constraint              | Constant   | Description                                                    | Example             |
|:-------------|:--------------|:-----------------------------------------------------------------|:----------------------|:------------|:-------------|:----------------------------|:-----------|:---------------------------------------------------------------|:--------------------|
| dim_card     | card_key      |                                                                  |                       | Key         | BIGINT       | Primary Key                 | False      | A unique, surrogate key for the individual card.               | 770012345           |
| dim_card     | card_id_hash  |                                                                  |                       | Business ID | VARCHAR(256) | Unique, Not Null            | True       | A one-way hash of the 16-digit card number (PAN) for security. | a3f...e91           |
| dim_card     | card_last_4   |                                                                  |                       | Business ID | CHAR(4)      | Not Null                    | True       | The last 4 digits of the card number.                          | 1234                |
| dim_card     | customer_key  |                                                                  |                       | Key         | INT          | Foreign Key to dim_customer | True       | The customer who owns this card.                               | 1002345             |
| dim_card     | card_type     |                                                                  |                       | Product     | VARCHAR(20)  | Not Null                    | True       | Possible Values: Credit, Debit, Prepaid, ATM-Only.             | Credit              |
| dim_card     | card_product  |                                                                  |                       | Product     | VARCHAR(100) | Not Null                    | False      | The specific bank product name for this card.                  | Platinum Rewards    |
| dim_card     | card_network  |                                                                  |                       | Product     | VARCHAR(50)  | Not Null                    | True       | The payment network (Visa, Mastercard, Amex, etc.).            | Visa                |
| dim_card     | issue_date    |                                                                  |                       | Status      | DATETIME     | Not Null                    | True       | Date the card was issued.                                      | 2022-07-01 09:30:00 |
| dim_card     | expiry_date   | 2 - notify là sắp hết hạn thẻ                                    | 3.2                   | Status      | DATETIME     | Not Null                    | True       | Date the card expires.                                         | 2022-07-02 09:30:00 |
|              |               | 3 - thằng này có thẻ xịn cần gia hạn thì nó phải là top priority |                       |             |              |                             |            |                                                                |                     |
| dim_card     | card_status   |                                                                  |                       | Status      | VARCHAR(20)  | Not Null                    | False      | Current status of the card.                                    | Active              |
