| Table Name       | Column Name      | Core Feature   |  Use case (if have)   | Category       | Data Type    | Key/Constraint   | Constant   | Description                                                                                                    | Example             |
|:-----------------|:-----------------|:---------------|:----------------------|:---------------|:-------------|:-----------------|:-----------|:---------------------------------------------------------------------------------------------------------------|:--------------------|
| dim_public_event | event_key        |                |                       | Key            | BIGINT       | Primary Key      | False      | A unique, surrogate key for the individual card.                                                               | 770012345           |
| dim_public_event | event_id         |                |                       | Business ID    | VARCHAR(20)  | Unique, Not Null | True       | The customer's main ID from the operational (OLTP) system.                                                     | CUS-98765           |
| dim_public_event | event_name       |                |                       | Classification | VARCHAR(100) | Not Null         | True       | The common name of the special event.                                                                          | Birthday            |
| dim_public_event | event_category   |                |                       | Classification | VARCHAR(50)  | Not Null         | True       | A high-level grouping for the event. (Private (Event for customer made by VPBank), Public)                     | Personal            |
| dim_public_event | event_date       |                |                       | Date           | DATE         | Not Null         | False      | The actual date of the event (e.g., the specific birthday, not the day it was logged).                         | 1985-05-20 00:00:00 |
| dim_public_event | is_recurring     |                |                       | Flag           | BOOLEAN      | Not Null         | True       | TRUE if the event happens annually (e.g., Birthday). FALSE if it's a one-time event (e.g., Paid off Mortgage). | True                |
| dim_public_event | is_rm_actionable |                |                       | Flag           | BOOLEAN      | Not Null         | True       | TRUE if this event should trigger an alert for the RM.                                                         | True                |
| dim_public_event | source           |                |                       | Detail         | VARCHAR(50)  | Not Null         | True       | How the bank learned of this event.                                                                            | Self-Reported       |
| dim_public_event | load_date        |                |                       | Admin          | DATETIME     | Not Null         | False      | The date this event record was loaded into the warehouse.                                                      | 2024-01-15 09:00:00 |
