| Table Name   | Column Name    | Core Feature           |  Use case (if have)   | Category    | Data Type    | Key/Constraint        | Constant   | Description                                                                               | Example                   |
|:-------------|:---------------|:-----------------------|:----------------------|:------------|:-------------|:----------------------|:-----------|:------------------------------------------------------------------------------------------|:--------------------------|
| dim_rm       | rm_key         |                        |                       | Key         | INT          | Primary Key           | False      | A unique, surrogate key for the RM in the data warehouse.                                 | 50012                     |
| dim_rm       | rm_employee_id |                        |                       | Business ID | VARCHAR(20)  | Unique, Not Null      | True       | The RM's unique employee ID from the HR system.                                           | E-4567                    |
| dim_rm       | rm_name        |                        |                       | Profile     | VARCHAR(255) | Not Null              | False      | Full name of the Relationship Manager.                                                    | John V. Smith             |
| dim_rm       | rm_dob         | 2 - Gọi người ta là gì |                       |             |              |                       | False      |                                                                                           |                           |
| dim_rm       | rm_level       |                        |                       |             |              |                       | False      | Từ level 4 (Nhân viên), 5 (CV), 6 (CVC), 7 (CVCC), 8 (Lead),... -> level 12. Fix level 6. | 6                         |
|              |                |                        |                       |             |              |                       |            |                                                                                           |                           |
|              |                |                        |                       |             |              |                       |            | Fix các level càng cao càng nhiều việc                                                    |                           |
| dim_rm       | rm_title       |                        |                       | Job Info    | VARCHAR(100) | Not Null              | False      | The RM's official job title.                                                              | Senior VP, Private Wealth |
| dim_rm       | rm_region      |                        |                       | Job Info    | VARCHAR(50)  | Not Null              | False      | The sales or operational region the RM belongs to.                                        | Northeast                 |
| dim_rm       | rm_manager_key |                        |                       | Job Info    | INT          | Foreign Key to dim_rm | False      | The rm_key of this RM's direct manager (a recursive key).                                 | 50005                     |
| dim_rm       | hire_date      |                        |                       | Job Info    | DATE         | Not Null              | True       | The date the RM was hired.                                                                | 2015-03-01 00:00:00       |
| dim_rm       | is_active      |                        |                       | Status      | BOOLEAN      | Not Null              | False      | Flag indicating if the RM is a current employee.                                          | True                      |
